V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,label
genderIsFemale,SeniorCitizenIs0,PartnerIsNo,DependentsIsYes,tenure<3year,PhoneServiceIsYes,MultipleLinesIsNo,InternetServiceIsFiber_optic,OnlineSecurityIsNo,OnlineBackupIsYes,DeviceProtectionIsYes,TechSupportIsYes,StreamingTVIsYes,StreamingMoviesIsYes,ContractIsTwo_year,PaperlessBillingIsYes,PaymentMethodIsElectronic_check,MonthlyCharges(80_120)$,0
genderIsFemale,SeniorCitizenIs0,PartnerIsYes,DependentsIsYes,tenure<6year,PhoneServiceIsYes,MultipleLinesIsYes,InternetServiceIsNo,OnlineSecurityIsNo_internet_service,OnlineBackupIsNo_internet_service,DeviceProtectionIsNo_internet_service,TechSupportIsNo_internet_service,StreamingTVIsNo_internet_service,StreamingMoviesIsNo_internet_service,ContractIsTwo_year,PaperlessBillingIsNo,PaymentMethodIsBank_transfer_(automatic),MonthlyCharges<40$,0
genderIsFemale,SeniorCitizenIs0,PartnerIsYes,DependentsIsYes,tenure<5year,PhoneServiceIsYes,MultipleLinesIsNo,InternetServiceIsNo,OnlineSecurityIsNo_internet_service,OnlineBackupIsNo_internet_service,DeviceProtectionIsNo_internet_service,TechSupportIsNo_internet_service,StreamingTVIsNo_internet_service,StreamingMoviesIsNo_internet_service,ContractIsTwo_year,PaperlessBillingIsNo,PaymentMethodIsMailed_check,MonthlyCharges<40$,0
genderIsMale,SeniorCitizenIs0,PartnerIsNo,DependentsIsNo,tenure<2year,PhoneServiceIsYes,MultipleLinesIsNo,InternetServiceIsDSL,OnlineSecurityIsYes,OnlineBackupIsNo,DeviceProtectionIsYes,TechSupportIsNo,StreamingTVIsYes,StreamingMoviesIsNo,ContractIsMonth-to-month,PaperlessBillingIsNo,PaymentMethodIsBank_transfer_(automatic),MonthlyCharges(40_80)$,0
genderIsFemale,SeniorCitizenIs0,PartnerIsYes,DependentsIsNo,tenure<4year,PhoneServiceIsYes,MultipleLinesIsYes,InternetServiceIsDSL,OnlineSecurityIsNo,OnlineBackupIsNo,DeviceProtectionIsNo,TechSupportIsNo,StreamingTVIsNo,StreamingMoviesIsNo,ContractIsMonth-to-month,PaperlessBillingIsYes,PaymentMethodIsElectronic_check,MonthlyCharges(40_80)$,1
genderIsMale,SeniorCitizenIs0,PartnerIsNo,DependentsIsNo,tenure<1year,PhoneServiceIsYes,MultipleLinesIsYes,InternetServiceIsFiber_optic,OnlineSecurityIsNo,OnlineBackupIsNo,DeviceProtectionIsNo,TechSupportIsNo,StreamingTVIsNo,StreamingMoviesIsNo,ContractIsMonth-to-month,PaperlessBillingIsYes,PaymentMethodIsCredit_card_(automatic),MonthlyCharges(40_80)$,1
genderIsFemale,SeniorCitizenIs0,PartnerIsYes,DependentsIsYes,tenure<5year,PhoneServiceIsYes,MultipleLinesIsYes,InternetServiceIsDSL,OnlineSecurityIsYes,OnlineBackupIsNo,DeviceProtectionIsYes,TechSupportIsYes,StreamingTVIsYes,StreamingMoviesIsYes,ContractIsTwo_year,PaperlessBillingIsYes,PaymentMethodIsElectronic_check,MonthlyCharges(80_120)$,0
genderIsFemale,SeniorCitizenIs0,PartnerIsYes,DependentsIsNo,tenure<5year,PhoneServiceIsYes,MultipleLinesIsYes,InternetServiceIsFiber_optic,OnlineSecurityIsNo,OnlineBackupIsNo,DeviceProtectionIsYes,TechSupportIsYes,StreamingTVIsYes,StreamingMoviesIsNo,ContractIsMonth-to-month,PaperlessBillingIsNo,PaymentMethodIsElectronic_check,MonthlyCharges(80_120)$,0
genderIsFemale,SeniorCitizenIs0,PartnerIsYes,DependentsIsYes,tenure<6year,PhoneServiceIsYes,MultipleLinesIsYes,InternetServiceIsFiber_optic,OnlineSecurityIsYes,OnlineBackupIsYes,DeviceProtectionIsYes,TechSupportIsYes,StreamingTVIsYes,StreamingMoviesIsYes,ContractIsTwo_year,PaperlessBillingIsYes,PaymentMethodIsBank_transfer_(automatic),MonthlyCharges(80_120)$,0
genderIsMale,SeniorCitizenIs0,PartnerIsYes,DependentsIsNo,tenure<6year,PhoneServiceIsYes,MultipleLinesIsYes,InternetServiceIsDSL,OnlineSecurityIsNo,OnlineBackupIsYes,DeviceProtectionIsYes,TechSupportIsYes,StreamingTVIsYes,StreamingMoviesIsNo,ContractIsTwo_year,PaperlessBillingIsNo,PaymentMethodIsCredit_card_(automatic),MonthlyCharges(40_80)$,0
genderIsFemale,SeniorCitizenIs1,PartnerIsNo,DependentsIsNo,tenure<1year,PhoneServiceIsYes,MultipleLinesIsNo,InternetServiceIsFiber_optic,OnlineSecurityIsNo,OnlineBackupIsNo,DeviceProtectionIsNo,TechSupportIsNo,StreamingTVIsNo,StreamingMoviesIsNo,ContractIsMonth-to-month,PaperlessBillingIsYes,PaymentMethodIsElectronic_check,MonthlyCharges(40_80)$,1
genderIsFemale,SeniorCitizenIs0,PartnerIsYes,DependentsIsYes,tenure<2year,PhoneServiceIsYes,MultipleLinesIsYes,InternetServiceIsFiber_optic,OnlineSecurityIsNo,OnlineBackupIsNo,DeviceProtectionIsNo,TechSupportIsNo,StreamingTVIsYes,StreamingMoviesIsNo,ContractIsMonth-to-month,PaperlessBillingIsYes,PaymentMethodIsElectronic_check,MonthlyCharges(80_120)$,0
genderIsMale,SeniorCitizenIs0,PartnerIsYes,DependentsIsYes,tenure<5year,PhoneServiceIsYes,MultipleLinesIsNo,InternetServiceIsNo,OnlineSecurityIsNo_internet_service,OnlineBackupIsNo_internet_service,DeviceProtectionIsNo_internet_service,TechSupportIsNo_internet_service,StreamingTVIsNo_internet_service,StreamingMoviesIsNo_internet_service,ContractIsTwo_year,PaperlessBillingIsNo,PaymentMethodIsMailed_check,MonthlyCharges<40$,0
genderIsMale,SeniorCitizenIs1,PartnerIsNo,DependentsIsNo,tenure<2year,PhoneServiceIsYes,MultipleLinesIsYes,InternetServiceIsFiber_optic,OnlineSecurityIsNo,OnlineBackupIsNo,DeviceProtectionIsNo,TechSupportIsNo,StreamingTVIsNo,StreamingMoviesIsNo,ContractIsMonth-to-month,PaperlessBillingIsYes,PaymentMethodIsCredit_card_(automatic),MonthlyCharges(40_80)$,1
genderIsFemale,SeniorCitizenIs0,PartnerIsYes,DependentsIsNo,tenure<4year,PhoneServiceIsYes,MultipleLinesIsYes,InternetServiceIsNo,OnlineSecurityIsNo_internet_service,OnlineBackupIsNo_internet_service,DeviceProtectionIsNo_internet_service,TechSupportIsNo_internet_service,StreamingTVIsNo_internet_service,StreamingMoviesIsNo_internet_service,ContractIsTwo_year,PaperlessBillingIsNo,PaymentMethodIsMailed_check,MonthlyCharges<40$,0
genderIsFemale,SeniorCitizenIs0,PartnerIsNo,DependentsIsNo,tenure<2year,PhoneServiceIsNo,MultipleLinesIsNo_phone_service,InternetServiceIsDSL,OnlineSecurityIsYes,OnlineBackupIsNo,DeviceProtectionIsNo,TechSupportIsNo,StreamingTVIsNo,StreamingMoviesIsNo,ContractIsMonth-to-month,PaperlessBillingIsYes,PaymentMethodIsBank_transfer_(automatic),MonthlyCharges<40$,0
genderIsFemale,SeniorCitizenIs0,PartnerIsYes,DependentsIsYes,tenure<6year,PhoneServiceIsYes,MultipleLinesIsNo,InternetServiceIsDSL,OnlineSecurityIsYes,OnlineBackupIsNo,DeviceProtectionIsYes,TechSupportIsYes,StreamingTVIsYes,StreamingMoviesIsNo,ContractIsOne_year,PaperlessBillingIsYes,PaymentMethodIsBank_transfer_(automatic),MonthlyCharges(40_80)$,0
genderIsFemale,SeniorCitizenIs0,PartnerIsNo,DependentsIsNo,tenure<1year,PhoneServiceIsNo,MultipleLinesIsNo_phone_service,InternetServiceIsDSL,OnlineSecurityIsNo,OnlineBackupIsNo,DeviceProtectionIsNo,TechSupportIsYes,StreamingTVIsYes,StreamingMoviesIsYes,ContractIsOne_year,PaperlessBillingIsYes,PaymentMethodIsMailed_check,MonthlyCharges(40_80)$,0
genderIsMale,SeniorCitizenIs0,PartnerIsYes,DependentsIsNo,tenure<6year,PhoneServiceIsYes,MultipleLinesIsYes,InternetServiceIsNo,OnlineSecurityIsNo_internet_service,OnlineBackupIsNo_internet_service,DeviceProtectionIsNo_internet_service,TechSupportIsNo_internet_service,StreamingTVIsNo_internet_service,StreamingMoviesIsNo_internet_service,ContractIsTwo_year,PaperlessBillingIsNo,PaymentMethodIsCredit_card_(automatic),MonthlyCharges<40$,0
genderIsMale,SeniorCitizenIs0,PartnerIsNo,DependentsIsNo,tenure<2year,PhoneServiceIsYes,MultipleLinesIsNo,InternetServiceIsNo,OnlineSecurityIsNo_internet_service,OnlineBackupIsNo_internet_service,DeviceProtectionIsNo_internet_service,TechSupportIsNo_internet_service,StreamingTVIsNo_internet_service,StreamingMoviesIsNo_internet_service,ContractIsOne_year,PaperlessBillingIsNo,PaymentMethodIsMailed_check,MonthlyCharges<40$,0
genderIsMale,SeniorCitizenIs0,PartnerIsNo,DependentsIsNo,tenure<1year,PhoneServiceIsYes,MultipleLinesIsNo,InternetServiceIsDSL,OnlineSecurityIsNo,OnlineBackupIsNo,DeviceProtectionIsNo,TechSupportIsNo,StreamingTVIsNo,StreamingMoviesIsNo,ContractIsMonth-to-month,PaperlessBillingIsNo,PaymentMethodIsElectronic_check,MonthlyCharges(40_80)$,1
genderIsMale,SeniorCitizenIs0,PartnerIsYes,DependentsIsNo,tenure<3year,PhoneServiceIsYes,MultipleLinesIsNo,InternetServiceIsDSL,OnlineSecurityIsNo,OnlineBackupIsNo,DeviceProtectionIsNo,TechSupportIsNo,StreamingTVIsNo,StreamingMoviesIsNo,ContractIsMonth-to-month,PaperlessBillingIsYes,PaymentMethodIsCredit_card_(automatic),MonthlyCharges(40_80)$,0
genderIsFemale,SeniorCitizenIs0,PartnerIsNo,DependentsIsNo,tenure<1year,PhoneServiceIsYes,MultipleLinesIsNo,InternetServiceIsFiber_optic,OnlineSecurityIsYes,OnlineBackupIsYes,DeviceProtectionIsNo,TechSupportIsYes,StreamingTVIsNo,StreamingMoviesIsNo,ContractIsMonth-to-month,PaperlessBillingIsYes,PaymentMethodIsElectronic_check,MonthlyCharges(80_120)$,1
genderIsMale,SeniorCitizenIs0,PartnerIsYes,DependentsIsYes,tenure<2year,PhoneServiceIsYes,MultipleLinesIsYes,InternetServiceIsDSL,OnlineSecurityIsYes,OnlineBackupIsNo,DeviceProtectionIsYes,TechSupportIsNo,StreamingTVIsYes,StreamingMoviesIsNo,ContractIsOne_year,PaperlessBillingIsYes,PaymentMethodIsBank_transfer_(automatic),MonthlyCharges(40_80)$,0
genderIsFemale,SeniorCitizenIs0,PartnerIsYes,DependentsIsYes,tenure<6year,PhoneServiceIsYes,MultipleLinesIsYes,InternetServiceIsDSL,OnlineSecurityIsYes,OnlineBackupIsYes,DeviceProtectionIsYes,TechSupportIsYes,StreamingTVIsYes,StreamingMoviesIsYes,ContractIsTwo_year,PaperlessBillingIsNo,PaymentMethodIsCredit_card_(automatic),MonthlyCharges(80_120)$,0
genderIsFemale,SeniorCitizenIs0,PartnerIsYes,DependentsIsNo,tenure<5year,PhoneServiceIsYes,MultipleLinesIsNo,InternetServiceIsNo,OnlineSecurityIsNo_internet_service,OnlineBackupIsNo_internet_service,DeviceProtectionIsNo_internet_service,TechSupportIsNo_internet_service,StreamingTVIsNo_internet_service,StreamingMoviesIsNo_internet_service,ContractIsOne_year,PaperlessBillingIsNo,PaymentMethodIsMailed_check,MonthlyCharges<40$,0
genderIsMale,SeniorCitizenIs0,PartnerIsYes,DependentsIsYes,tenure<1year,PhoneServiceIsYes,MultipleLinesIsNo,InternetServiceIsNo,OnlineSecurityIsNo_internet_service,OnlineBackupIsNo_internet_service,DeviceProtectionIsNo_internet_service,TechSupportIsNo_internet_service,StreamingTVIsNo_internet_service,StreamingMoviesIsNo_internet_service,ContractIsOne_year,PaperlessBillingIsNo,PaymentMethodIsMailed_check,MonthlyCharges<40$,0
genderIsFemale,SeniorCitizenIs0,PartnerIsNo,DependentsIsYes,tenure<3year,PhoneServiceIsYes,MultipleLinesIsYes,InternetServiceIsFiber_optic,OnlineSecurityIsNo,OnlineBackupIsNo,DeviceProtectionIsNo,TechSupportIsNo,StreamingTVIsYes,StreamingMoviesIsNo,ContractIsMonth-to-month,PaperlessBillingIsYes,PaymentMethodIsCredit_card_(automatic),MonthlyCharges(80_120)$,1
genderIsMale,SeniorCitizenIs0,PartnerIsNo,DependentsIsNo,tenure<1year,PhoneServiceIsYes,MultipleLinesIsNo,InternetServiceIsDSL,OnlineSecurityIsNo,OnlineBackupIsNo,DeviceProtectionIsNo,TechSupportIsNo,StreamingTVIsNo,StreamingMoviesIsNo,ContractIsMonth-to-month,PaperlessBillingIsNo,PaymentMethodIsMailed_check,MonthlyCharges(40_80)$,0
genderIsMale,SeniorCitizenIs1,PartnerIsYes,DependentsIsNo,tenure<3year,PhoneServiceIsNo,MultipleLinesIsNo_phone_service,InternetServiceIsDSL,OnlineSecurityIsNo,OnlineBackupIsNo,DeviceProtectionIsNo,TechSupportIsNo,StreamingTVIsNo,StreamingMoviesIsYes,ContractIsMonth-to-month,PaperlessBillingIsNo,PaymentMethodIsBank_transfer_(automatic),MonthlyCharges<40$,1
genderIsMale,SeniorCitizenIs0,PartnerIsYes,DependentsIsYes,tenure<5year,PhoneServiceIsYes,MultipleLinesIsNo,InternetServiceIsNo,OnlineSecurityIsNo_internet_service,OnlineBackupIsNo_internet_service,DeviceProtectionIsNo_internet_service,TechSupportIsNo_internet_service,StreamingTVIsNo_internet_service,StreamingMoviesIsNo_internet_service,ContractIsTwo_year,PaperlessBillingIsNo,PaymentMethodIsMailed_check,MonthlyCharges<40$,0
genderIsMale,SeniorCitizenIs0,PartnerIsYes,DependentsIsNo,tenure<6year,PhoneServiceIsYes,MultipleLinesIsYes,InternetServiceIsFiber_optic,OnlineSecurityIsNo,OnlineBackupIsYes,DeviceProtectionIsYes,TechSupportIsYes,StreamingTVIsYes,StreamingMoviesIsYes,ContractIsTwo_year,PaperlessBillingIsYes,PaymentMethodIsElectronic_check,MonthlyCharges(80_120)$,0
genderIsMale,SeniorCitizenIs0,PartnerIsYes,DependentsIsNo,tenure<6year,PhoneServiceIsYes,MultipleLinesIsYes,InternetServiceIsFiber_optic,OnlineSecurityIsYes,OnlineBackupIsYes,DeviceProtectionIsYes,TechSupportIsYes,StreamingTVIsYes,StreamingMoviesIsYes,ContractIsTwo_year,PaperlessBillingIsYes,PaymentMethodIsBank_transfer_(automatic),MonthlyCharges(80_120)$,0
genderIsFemale,SeniorCitizenIs0,PartnerIsNo,DependentsIsNo,tenure<1year,PhoneServiceIsYes,MultipleLinesIsNo,InternetServiceIsNo,OnlineSecurityIsNo_internet_service,OnlineBackupIsNo_internet_service,DeviceProtectionIsNo_internet_service,TechSupportIsNo_internet_service,StreamingTVIsNo_internet_service,StreamingMoviesIsNo_internet_service,ContractIsMonth-to-month,PaperlessBillingIsNo,PaymentMethodIsMailed_check,MonthlyCharges<40$,0
genderIsFemale,SeniorCitizenIs0,PartnerIsNo,DependentsIsNo,tenure<3year,PhoneServiceIsYes,MultipleLinesIsYes,InternetServiceIsFiber_optic,OnlineSecurityIsNo,OnlineBackupIsNo,DeviceProtectionIsNo,TechSupportIsNo,StreamingTVIsYes,StreamingMoviesIsNo,ContractIsMonth-to-month,PaperlessBillingIsNo,PaymentMethodIsElectronic_check,MonthlyCharges(80_120)$,0
genderIsFemale,SeniorCitizenIs1,PartnerIsYes,DependentsIsNo,tenure<6year,PhoneServiceIsYes,MultipleLinesIsYes,InternetServiceIsFiber_optic,OnlineSecurityIsYes,OnlineBackupIsYes,DeviceProtectionIsYes,TechSupportIsNo,StreamingTVIsYes,StreamingMoviesIsYes,ContractIsMonth-to-month,PaperlessBillingIsYes,PaymentMethodIsCredit_card_(automatic),MonthlyCharges(80_120)$,0
genderIsMale,SeniorCitizenIs0,PartnerIsYes,DependentsIsNo,tenure<5year,PhoneServiceIsYes,MultipleLinesIsYes,InternetServiceIsFiber_optic,OnlineSecurityIsYes,OnlineBackupIsNo,DeviceProtectionIsYes,TechSupportIsYes,StreamingTVIsYes,StreamingMoviesIsYes,ContractIsMonth-to-month,PaperlessBillingIsYes,PaymentMethodIsBank_transfer_(automatic),MonthlyCharges(80_120)$,0
genderIsFemale,SeniorCitizenIs0,PartnerIsYes,DependentsIsNo,tenure<2year,PhoneServiceIsYes,MultipleLinesIsNo,InternetServiceIsFiber_optic,OnlineSecurityIsYes,OnlineBackupIsYes,DeviceProtectionIsNo,TechSupportIsYes,StreamingTVIsYes,StreamingMoviesIsNo,ContractIsMonth-to-month,PaperlessBillingIsYes,PaymentMethodIsElectronic_check,MonthlyCharges(80_120)$,0
genderIsFemale,SeniorCitizenIs0,PartnerIsNo,DependentsIsNo,tenure<1year,PhoneServiceIsYes,MultipleLinesIsYes,InternetServiceIsDSL,OnlineSecurityIsYes,OnlineBackupIsNo,DeviceProtectionIsNo,TechSupportIsNo,StreamingTVIsNo,StreamingMoviesIsNo,ContractIsMonth-to-month,PaperlessBillingIsYes,PaymentMethodIsElectronic_check,MonthlyCharges(40_80)$,0
genderIsFemale,SeniorCitizenIs0,PartnerIsNo,DependentsIsNo,tenure<1year,PhoneServiceIsYes,MultipleLinesIsYes,InternetServiceIsNo,OnlineSecurityIsNo_internet_service,OnlineBackupIsNo_internet_service,DeviceProtectionIsNo_internet_service,TechSupportIsNo_internet_service,StreamingTVIsNo_internet_service,StreamingMoviesIsNo_internet_service,ContractIsMonth-to-month,PaperlessBillingIsNo,PaymentMethodIsMailed_check,MonthlyCharges<40$,0
genderIsFemale,SeniorCitizenIs0,PartnerIsNo,DependentsIsNo,tenure<4year,PhoneServiceIsYes,MultipleLinesIsYes,InternetServiceIsNo,OnlineSecurityIsNo_internet_service,OnlineBackupIsNo_internet_service,DeviceProtectionIsNo_internet_service,TechSupportIsNo_internet_service,StreamingTVIsNo_internet_service,StreamingMoviesIsNo_internet_service,ContractIsOne_year,PaperlessBillingIsYes,PaymentMethodIsElectronic_check,MonthlyCharges<40$,0
genderIsMale,SeniorCitizenIs0,PartnerIsNo,DependentsIsYes,tenure<1year,PhoneServiceIsYes,MultipleLinesIsNo,InternetServiceIsNo,OnlineSecurityIsNo_internet_service,OnlineBackupIsNo_internet_service,DeviceProtectionIsNo_internet_service,TechSupportIsNo_internet_service,StreamingTVIsNo_internet_service,StreamingMoviesIsNo_internet_service,ContractIsMonth-to-month,PaperlessBillingIsNo,PaymentMethodIsMailed_check,MonthlyCharges<40$,0
genderIsMale,SeniorCitizenIs1,PartnerIsYes,DependentsIsNo,tenure<6year,PhoneServiceIsYes,MultipleLinesIsYes,InternetServiceIsDSL,OnlineSecurityIsYes,OnlineBackupIsYes,DeviceProtectionIsYes,TechSupportIsYes,StreamingTVIsYes,StreamingMoviesIsYes,ContractIsTwo_year,PaperlessBillingIsNo,PaymentMethodIsCredit_card_(automatic),MonthlyCharges(80_120)$,0
genderIsMale,SeniorCitizenIs0,PartnerIsNo,DependentsIsNo,tenure<5year,PhoneServiceIsYes,MultipleLinesIsNo,InternetServiceIsDSL,OnlineSecurityIsYes,OnlineBackupIsYes,DeviceProtectionIsNo,TechSupportIsNo,StreamingTVIsYes,StreamingMoviesIsNo,ContractIsTwo_year,PaperlessBillingIsYes,PaymentMethodIsCredit_card_(automatic),MonthlyCharges(40_80)$,0
genderIsMale,SeniorCitizenIs0,PartnerIsYes,DependentsIsNo,tenure<1year,PhoneServiceIsYes,MultipleLinesIsNo,InternetServiceIsDSL,OnlineSecurityIsNo,OnlineBackupIsNo,DeviceProtectionIsYes,TechSupportIsNo,StreamingTVIsYes,StreamingMoviesIsYes,ContractIsMonth-to-month,PaperlessBillingIsYes,PaymentMethodIsMailed_check,MonthlyCharges(40_80)$,0
genderIsMale,SeniorCitizenIs1,PartnerIsNo,DependentsIsNo,tenure<1year,PhoneServiceIsYes,MultipleLinesIsNo,InternetServiceIsFiber_optic,OnlineSecurityIsNo,OnlineBackupIsNo,DeviceProtectionIsNo,TechSupportIsNo,StreamingTVIsNo,StreamingMoviesIsNo,ContractIsMonth-to-month,PaperlessBillingIsYes,PaymentMethodIsElectronic_check,MonthlyCharges(40_80)$,0
genderIsMale,SeniorCitizenIs0,PartnerIsYes,DependentsIsNo,tenure<5year,PhoneServiceIsYes,MultipleLinesIsYes,InternetServiceIsDSL,OnlineSecurityIsNo,OnlineBackupIsYes,DeviceProtectionIsNo,TechSupportIsYes,StreamingTVIsNo,StreamingMoviesIsNo,ContractIsMonth-to-month,PaperlessBillingIsNo,PaymentMethodIsBank_transfer_(automatic),MonthlyCharges(40_80)$,0
genderIsFemale,SeniorCitizenIs0,PartnerIsNo,DependentsIsNo,tenure<2year,PhoneServiceIsYes,MultipleLinesIsNo,InternetServiceIsDSL,OnlineSecurityIsNo,OnlineBackupIsNo,DeviceProtectionIsYes,TechSupportIsNo,StreamingTVIsNo,StreamingMoviesIsNo,ContractIsMonth-to-month,PaperlessBillingIsYes,PaymentMethodIsMailed_check,MonthlyCharges(40_80)$,0
genderIsMale,SeniorCitizenIs0,PartnerIsYes,DependentsIsYes,tenure<6year,PhoneServiceIsYes,MultipleLinesIsYes,InternetServiceIsFiber_optic,OnlineSecurityIsYes,OnlineBackupIsYes,DeviceProtectionIsYes,TechSupportIsYes,StreamingTVIsNo,StreamingMoviesIsNo,ContractIsTwo_year,PaperlessBillingIsNo,PaymentMethodIsCredit_card_(automatic),MonthlyCharges(80_120)$,0
genderIsMale,SeniorCitizenIs0,PartnerIsYes,DependentsIsYes,tenure<2year,PhoneServiceIsYes,MultipleLinesIsNo,InternetServiceIsDSL,OnlineSecurityIsNo,OnlineBackupIsNo,DeviceProtectionIsNo,TechSupportIsNo,StreamingTVIsNo,StreamingMoviesIsNo,ContractIsMonth-to-month,PaperlessBillingIsNo,PaymentMethodIsBank_transfer_(automatic),MonthlyCharges(40_80)$,0
genderIsMale,SeniorCitizenIs0,PartnerIsNo,DependentsIsNo,tenure<1year,PhoneServiceIsYes,MultipleLinesIsNo,InternetServiceIsNo,OnlineSecurityIsNo_internet_service,OnlineBackupIsNo_internet_service,DeviceProtectionIsNo_internet_service,TechSupportIsNo_internet_service,StreamingTVIsNo_internet_service,StreamingMoviesIsNo_internet_service,ContractIsMonth-to-month,PaperlessBillingIsNo,PaymentMethodIsMailed_check,MonthlyCharges<40$,0
genderIsMale,SeniorCitizenIs0,PartnerIsYes,DependentsIsNo,tenure<5year,PhoneServiceIsYes,MultipleLinesIsYes,InternetServiceIsFiber_optic,OnlineSecurityIsYes,OnlineBackupIsNo,DeviceProtectionIsYes,TechSupportIsNo,StreamingTVIsNo,StreamingMoviesIsYes,ContractIsMonth-to-month,PaperlessBillingIsNo,PaymentMethodIsElectronic_check,MonthlyCharges(80_120)$,1
genderIsMale,SeniorCitizenIs0,PartnerIsNo,DependentsIsNo,tenure<4year,PhoneServiceIsYes,MultipleLinesIsNo,InternetServiceIsNo,OnlineSecurityIsNo_internet_service,OnlineBackupIsNo_internet_service,DeviceProtectionIsNo_internet_service,TechSupportIsNo_internet_service,StreamingTVIsNo_internet_service,StreamingMoviesIsNo_internet_service,ContractIsOne_year,PaperlessBillingIsYes,PaymentMethodIsMailed_check,MonthlyCharges<40$,0
