Zip,International,Admitted,Enrolled,ApplicantStatus,SexCode,School Type,RepeatingGrade,AdmissionsYr,BU Affiliation,SiblingConnection,InterviewRating,InterviewRating2,InterviewRating3,AppRecdDate,AppRecdMonth,InquiryDate,Ethnicity,Decision_Rating1,Decision_Rating2,Decision_Rating3,Decision_Rating4,SSATDate,SSATGrade,SSATVerbal,SSATQuantitative,SSATReading,SSATTotal
2148,,N,N,Rejected,F,Public,N,2013,,N,3,3,3,10/16/12,10,7/18/12,LatiN/Hispanic American,2.17,2.83,2,2,1/5/13,8,617,614,638,1869
2446,,N,N,Rejected,M,Public,N,2010,,N,3,3,2.25,1/27/10,1,12/2/09,Multiracial: Hispanic/White,3,2.5,3.17,2.9,1/9/10,10,800,791,740,2331
2128,,N,N,Rejected,F,Public,N,2014,,N,,,,1/31/14,1,9/26/13,LatiN/Hispanic American,3.25,3.58,3.42,3.42,1/4/14,8,650,710,677,2037
2048,,Y,N,Decline,M,Private,N,2006,,N,,,,10/4/05,10,6/1/05,Hispanic,5,5,5,15,11/12/05,8,800,773,749,2322
2119,,N,N,Rejected,F,Public,N,2017,,N,,,,1/18/17,1,12/8/16,,,,,,12/10/16,8,602,662,617,1881
2125,,N,N,Rejected,M,Public,N,2005,,N,,,,2/1/05,2,9/14/04,Cape Verdean,,,,,2/5/05,8,277,294,280,851
2093,,Y,Y,Enrolled,F,Public,N,2005,,N,,,,1/25/05,1,12/5/04,Hispanic,4,3,3,10,1/8/05,8,292,322,319,933
2132,,N,N,WL-Decline,M,Private,N,2015,,N,4,5,3,12/17/14,12,10/21/14,LatiN/Hispanic American,2.62,3.33,4,3,1/10/15,8,686,731,638,2055
2155,,N,N,Rejected,F,Parochial,N,2012,,N,4,3,3.5,11/25/11,11,9/20/11,African American,1.5,2.5,2,1.5,1/7/12,8,530,557,566,1653
2136,,N,N,Rejected,F,Public,N,2011,,N,3.5,3.5,3.5,10/20/10,10,9/14/10,Hispanic,1.92,2.92,2.5,1.83,12/11/10,8,635,653,620,1908
1721,,N,N,Wait List,M,Public,N,2016,,N,,,,12/29/15,12,8/14/15,,2.7,3.7,3,2.7,2/6/16,8,695,773,701,2169
2125,,N,N,Wait List,M,Private,N,2013,,N,4,5,5,1/27/13,1,10/15/12,African American,2.25,3.5,4,3,1/17/13,8,647,695,650,1992
2125,,N,N,Rejected,M,Public,N,2012,,N,2.5,2,2,12/9/11,12,7/18/11,African Am/Native Am,2,2.5,2,2,1/7/12,8,596,662,590,1848
2021,,Y,Y,Enrolled,F,Parochial,Y,2011,,N,5,4.5,4.5,10/20/10,10,10/20/10,Multiracial: Hispanic/White,3.75,4,4,3.4,10/16/10,9,725,770,710,2205
2122,,N,N,Rejected,F,Public,N,2005,,N,,,,1/31/05,1,1/14/05,African American,4,5,0,9,10/23/04,8,262,277,263,802
2119,,N,N,Rejected,F,Public,N,2017,,N,,,,1/18/17,1,12/1/16,,,,,,1/5/17,8,575,674,617,1866
2871,,Y,Y,Enrolled,F,International,N,2008,,N,4,4,4,11/26/07,11,7/24/07,White/Caucasian,3.3,4,4,3.6,1/12/08,8,614,728,668,2010
2871,,Y,Y,Enrolled,M,International,N,2008,,N,4,4,5,11/26/07,11,7/24/07,White/Caucasian,3,4.2,4.3,3.2,1/12/08,9,737,743,674,2154
2125,,N,N,Rejected,F,Public,N,2005,,N,,,,2/3/05,2,2/3/05,,3,4,1,8,10/23/04,8,274,282,271,827
2119,,N,N,Rejected,F,Public,N,2007,,N,,,,12/21/06,12,9/28/06,African American: Cape Verdean,1,3,3.5,2,12/9/06,8,636,617,605,1857
2139,,Y,Y,Enrolled,M,Public,N,2013,,N,5,5,5,1/24/13,1,11/29/12,White/Caucasian,4.5,3.75,3.5,4,1/5/13,8,800,755,755,2310
3106,,N,N,WL-Decline,M,Public,N,2007,,N,,,,1/3/07,1,11/20/06,Asian American: Chinese,5,4.25,4.58,4.58,11/11/06,8,767,791,728,2286
1730,,Y,Y,Enrolled,F,Home Schooled,N,2014,,N,5,5,5,11/30/13,11,8/13/13,Asian American,5,5,4.67,4.83,12/7/13,8,800,794,746,2340
2472,,Y,N,Decline,M,Private,N,2009,,N,4.5,4,2,10/27/08,10,9/16/08,White/Caucasian,4.17,4.08,3.67,4.25,12/13/08,8,743,800,692,2235
2115,,N,N,Rejected,F,Public,N,2011,,N,,,,12/6/10,12,9/14/10,Hispanic,1.75,2,1.5,1.75,12/11/10,8,602,668,596,1866
2150,,N,N,Rejected,M,Public,N,2012,,N,2.5,3.5,3,10/12/11,10,7/28/10,LatiN/Hispanic American,2.42,4.17,3.83,3.08,12/10/11,8,647,689,650,1986
2465,,Y,N,Decline,M,Private,N,2012,,N,3,3.5,4,11/21/11,11,9/8/11,White/Caucasian,3.77,4,4.58,4,11/20/11,8,665,770,701,2136
2446,,Y,Y,Enrolled,F,Public,N,2014,,N,4,5,5,12/4/13,12,10/6/13,Multiracial,4,4.08,4.17,4.12,11/9/13,8,719,701,740,2160
2446,,Y,Y,Enrolled,M,Public,N,2017,,Y,,,,1/17/17,1,11/18/16,Chinese American,,,,,10/15/16,8,764,800,734,2298
2140,,Y,N,Decline,M,Public,N,2011,,N,,,,1/10/11,1,1/10/11,African American,3.38,4,3.75,3.42,10/30/10,8,656,707,704,2067
2141,,Y,N,Withdraw,F,Private,N,2012,,N,4.5,4.5,4.5,10/23/11,10,10/22/11,Asian American,3.98,3.82,3.9,3.88,1/17/12,9,785,755,716,2256
2493,,Y,N,Decline,M,Private,N,2008,,N,5,5,5,1/10/08,1,9/10/07,Asian American: Indian,4.1,4,4.7,4.3,12/8/07,8,722,752,704,2178
2118,,N,N,Rejected,F,Parochial,N,2010,,N,3,3,3.5,10/27/09,10,10/27/09,Hispanic,2.33,3,3.33,2.83,1/9/10,8,728,710,632,2070
2421,,Y,N,Decline,F,Private,N,2008,,N,4.25,4.25,4,1/3/08,1,10/3/07,Asian: Chinese,4.7,4.4,4.5,4.5,11/20/07,8,752,737,722,2211
1938,,N,N,Rejected,M,Home Schooled,N,2013,,N,4,4,5,1/1/13,1,12/11/12,White/Caucasian,2.92,4,2.83,2.83,2/2/13,9,779,680,677,2136
2186,,Y,Y,Enrolled,M,Private,N,2016,,N,,,,6/16/16,6,6/16/16,African American: Haitian,,,,,,,,,,
2186,,Y,N,Decline,M,Private,N,2015,,N,,,,1/1/15,1,7/21/15,African American: Haitian,,,,,1/11/15,8,719,710,701,2130
2124,,Y,N,Decline,M,Private,N,2009,,N,5,5,5,12/10/08,12,10/21/08,African American,3.58,3.83,4,3.83,12/8/08,8,704,743,722,2169
2116,,Y,Y,Enrolled,M,International,N,2016,,N,,,,1/17/16,1,12/11/15,,4.5,3.5,4.5,3.5,12/12/15,9,752,767,707,2226
2138,,Y,N,Decline,M,Private,N,2016,,N,,,,11/2/15,11,7/28/15,,3.3,4.3,4,4,12/12/15,8,704,761,707,2172
2446,,Y,Y,Enrolled,F,Private,N,2006,,Y,,,,12/6/05,12,12/1/05,White/Caucasian,3,4,5,12,1/7/06,9,794,695,773,2262
2302,,N,N,Rejected,M,Public,N,2011,,N,,,,2/4/11,2,1/11/11,African American,1,1,1.5,1,1/8/11,8,569,575,560,1704
2139,,Y,Y,Enrolled,F,Public,N,2010,,N,4,4,4,1/5/10,1,12/7/09,Multiracial: White/Pakistani,3.5,3.5,3.5,3.17,1/9/10,8,722,671,698,2091
2472,,N,N,Rejected,M,Public,N,2011,,N,3.5,4,3.75,10/15/10,10,10/8/10,White/Caucasian,2,2.5,2,2,1/8/11,8,566,671,644,1881
2139,,N,N,Rejected,F,Private,N,2017,,Y,,,,2/1/17,2,1/1/17,Caucasian,,,,,12/10/16,8,653,590,671,1914
2139,,Y,Y,Enrolled,M,Private,N,2014,,N,4,3,4,1/14/14,1,1/16/14,Caucasian,3.58,3.67,3.92,3.75,11/9/13,8,716,710,731,2157
2132,,N,N,Rejected,M,Private,N,2011,,N,3,3.5,4,10/20/10,10,9/14/10,African American,1.33,3,2.25,1.58,11/13/10,9,632,701,569,1902
2067,,Y,Y,Enrolled,F,Public,N,2014,,N,4,5,5,9/30/13,9,9/6/13,Asian American,4.42,4.33,4.08,4.17,12/7/13,8,752,800,713,2265
1936,,Y,N,Decline,F,Private,N,2016,,N,,,,12/9/15,12,11/3/15,,3.3,3.7,4,3.3,11/14/15,8,716,677,686,2079
1810,,N,N,Rejected,M,Public,N,2015,,N,3,4,4,1/1/15,1,11/8/14,Multiracial,2.5,2.25,2.5,2.33,11/15/14,8,719,710,731,2160
2459,,Y,Y,Enrolled,M,Public,N,2008,,N,5,5,5,10/15/07,10,9/17/07,White/Caucasian,4.5,4.5,4.25,4.5,11/20/07,8,764,749,725,2238
1923,,Y,N,Decline,F,Private,N,2012,,N,5,5,5,11/7/11,11,9/23/11,White/Caucasian,5,4.92,4.58,5,11/12/11,8,779,779,743,2301
2122,,N,N,Rejected,M,Private,N,2006,,N,,,,1/30/06,1,10/12/05,African American,4,5,1,10,12/10/05,8,641,680,626,1947
2066,,N,N,Wait List,F,Private,N,2009,,N,3,3,3.5,10/21/08,10,6/30/08,White/Caucasian,3.38,3.63,3.25,3.38,12/13/08,8,773,680,734,2187
1772,,Y,N,Decline,M,Public,N,2015,,N,5,5,5,12/17/14,12,10/16/14,Asian American,4.33,4.3,4.42,4.25,1/10/15,8,755,752,716,2223
2302,,N,N,Rejected,F,Private,N,2011,,N,5,4,4,1/13/11,1,11/9/10,,2.63,2.88,3.13,2.88,1/8/11,8,674,659,713,2046
1772,,Y,N,Decline,M,Private,N,2012,,N,4.5,5,5,11/14/11,11,7/20/11,White/Caucasian,3.78,4.25,4,4,12/29/11,8,761,758,677,2196
2081,,Y,N,Decline,F,Private,N,2013,,N,4,4,4,10/29/12,10,10/15/12,Asian American,4.5,4.58,4.33,4.58,10/13/12,8,737,773,728,2238
2339,,Y,Y,Enrolled,M,Private,N,2008,,N,4,4,2.25,10/12/07,10,9/25/07,White/Caucasian,3.6,3.6,2.8,3.25,11/10/07,8,713,716,683,2112
1773,,Y,Y,Enrolled,F,Public,N,2007,,Y,,,,1/3/07,1,9/25/06,Multiracial: Indian/White,5,4.5,4.625,5,11/11/06,8,746,764,728,2238
1778,,N,N,Wait List,M,Private,N,2017,,N,,,,1/6/17,1,9/26/16,,,,,,1/7/17,9,779,725,743,2247
2459,,Y,N,Decline,M,Private,N,2010,,N,4,5,4,1/5/10,1,1/4/10,,4.37,4.28,3.95,3.95,1/10/10,8,767,779,719,2265
1905,,N,N,Rejected,F,Public,N,2013,,N,4,4,3,11/18/12,11,9/27/12,LatiN/Hispanic American,1.83,3.33,3,2.17,11/16/12,8,638,677,602,1917
2186,,Y,Y,Enrolled,M,Private,N,2009,,N,5,5,4,10/28/08,10,9/16/08,White/Caucasian,4.83,4.67,4,4.5,1/10/09,9,779,791,722,2292
2090,,N,N,Rejected,F,Public,N,2005,,N,,,,12/10/04,12,11/15/04,Greek,3,3,2,8,1/8/05,8,290,309,286,885
1876,,Y,Y,Enrolled,F,Private,N,2013,,N,5,3,3,11/12/12,11,9/21/12,White/Caucasian,4.33,4,3.83,4,11/10/12,8,800,761,740,2301
1940,,Y,Y,Enrolled,M,Public,N,2017,,N,,,,10/11/16,10,5/15/16,Caucasian and LatiN/Hispanic,,,,,12/10/16,8,788,713,716,2217
2124,,N,N,Rejected,F,Private,N,2009,,N,4,4,4,11/18/08,11,10/21/08,Asian American: Chinese,3,3.75,3,3,12/13/08,8,731,641,698,2070
2186,,N,N,Rejected,M,Private,N,2005,,N,,,,1/31/05,1,9/16/04,White/Caucasian,4,4.5,4,12.5,12/20/04,7,350,328,316,994
2138,,Y,N,Decline,F,Public,N,2009,,N,5,4,4.5,12/25/08,12,10/22/08,Multiracial: Mid Eastern/Asian,4.13,4.5,4.75,4.5,11/8/08,8,779,716,722,2217
2474,,N,N,Rejected,M,Private,N,2011,,N,3.5,3,3,12/2/10,12,12/2/10,,2.92,2.75,2.75,2.75,1/8/11,8,719,779,689,2187
1772,,Y,N,Decline,F,Private,N,2013,,N,5,4,4,10/16/12,10,9/10/12,White/Caucasian,4.92,4.75,4.5,4.75,11/10/12,8,743,773,725,2241
2171,,Y,N,Decline,M,Private,N,2009,,N,4,4,5,10/23/08,10,5/8/07,White/Caucasian,4.17,3.92,3.58,3.83,12/17/08,8,773,773,731,2277
2113,,Y,N,Decline,M,Private,N,2015,,N,3,3,4,12/30/14,12,9/4/14,Caucasian,4.75,4.5,4.63,4.5,10/18/14,8,779,761,731,2271
2030,,Y,N,Decline,M,Private,N,2010,,N,5,5,5,1/7/10,1,10/1/08,White/Caucasian,4.62,4.37,4.78,4.62,12/12/09,8,761,800,719,2280
2467,,N,N,WL-Decline,F,Public,N,2009,,N,5,5,5,12/17/08,12,4/20/08,Asian: Mongolian,3.82,4.83,5,3.97,12/13/08,8,647,722,698,2067
2467,,N,N,Rejected,M,Public,N,2011,,N,4,4,4,11/29/10,11,8/23/10,Asian American,2.75,3.5,4.17,3.68,12/11/10,8,677,668,674,2019
2465,,Y,N,Decline,F,Private,N,2017,,N,,,,12/31/16,12,9/15/15,,,,,,10/15/16,8,800,782,755,2337
6070,,N,N,Rejected,M,Private,N,2008,,N,4,3,1,1/4/08,1,11/14/07,Multiracial: Middle Eastern/Wh,3.7,3,1,2.4,1/9/08,8,710,800,677,2187
2056,,Y,N,Decline,F,Private,N,2009,,N,5,3.5,3,10/28/08,10,4/2/06,White/Caucasian,4.33,3.17,3.17,3.52,10/11/08,8,731,773,731,2235
2476,,N,N,Rejected,F,Public,N,2006,,N,,,,1/31/06,1,9/21/05,White/Caucasian,4,3.5,5,12.5,12/10/05,8,737,713,725,2175
2144,,N,N,Wait List,M,Public,N,2014,,N,4,3,4,1/8/14,1,12/4/13,Caucasian,3.67,3.83,3.92,3.67,2/1/14,8,668,734,692,2094
2446,,N,N,Rejected,F,Private,N,2012,,N,,,,1/27/12,1,1/23/12,African American,1.75,3,2.75,2,2/4/12,9,641,623,611,1875
2332,,N,N,WL-Decline,M,Public,N,2015,,N,5,4,5,10/25/14,10,9/16/14,Caucasian,3.17,3.92,4.17,3.42,1/10/15,8,635,782,650,2067
2128,,N,N,Rejected,F,Public,N,2009,,N,3,2.25,3,1/30/09,1,10/1/08,African American,2,2,3,1.5,12/13/08,8,581,656,611,1848
2124,,Y,Y,Enrolled,F,Private,N,2012,,N,4,4,3.5,10/20/11,10,9/24/09,African American,3.08,3.83,3.83,3.65,1/7/12,8,710,680,659,2049
2026,,Y,N,Decline,M,Private,N,2010,,N,3.5,4,4,11/24/09,11,11/4/09,White/Caucasian,4.17,3.92,3.67,4,1/25/10,8,794,755,713,2262
2093,,Y,N,Decline,F,Public,N,2009,,N,,,,1/30/09,1,9/16/08,White/Caucasian,4.17,4.5,4.17,4.4,10/11/08,9,800,749,773,2322
2093,,Y,N,Decline,F,Private,N,2008,,N,,,,8/13/08,8,5/8/07,,,,,,11/20/07,8,785,722,740,2247
2421,,Y,Y,Enrolled,M,Private,N,2006,,N,,,,1/11/06,1,9/13/05,White/Caucasian,5,4,5,14,11/12/05,9,722,797,716,2235
1907,,Y,Y,Enrolled,F,Public,N,2014,BU Employee,N,4,5,4,10/14/13,10,9/22/13,Caucasian,4.12,4.25,4.17,4.12,11/9/13,8,716,695,707,2118
2138,,Y,N,Decline,M,Private,N,2005,,N,,,,1/31/05,1,10/6/04,White/Caucasian,5,3,5,13,11/13/04,8,350,348,344,1042
2453,,N,N,Rejected,F,Parochial,N,2015,,N,3,4,3,12/31/14,12,11/11/14,Asian American,3.08,3.42,3.17,3.12,12/13/14,8,683,716,641,2040
2421,,Y,N,Decline,M,Private,N,2017,BU Employee,N,,,,1/11/17,1,11/27/16,,,,,,12/10/16,8,761,782,701,2244
2136,,N,N,Rejected,M,Public,N,2013,,N,4,4,4,12/9/12,12,10/1/12,LatiN/Hispanic American,1,3.25,3.25,2,11/10/12,8,557,632,539,1728
2215,,N,N,Rejected,F,International,N,2013,,N,,,,8/12/13,8,7/23/13,,,,,,8/23/13,8,671,617,671,1959
2465,,Y,N,Decline,M,Private,N,2010,,N,2,2,2,12/2/09,12,9/15/09,Multiracial: White/M.Eastern,4.83,4.33,3.5,4.33,1/21/10,8,785,800,779,2364
1701,,N,N,Wait List,M,Public,N,2014,,N,4,4,5,9/28/13,9,11/3/12,Caucasian,3.28,3.75,3.83,3.53,12/7/13,8,698,707,686,2091
1720,,N,N,WL-Decline,M,Public,N,2012,,N,4,4.5,2,12/16/11,12,10/16/11,White/Caucasian,3.83,4.5,2.83,3.5,10/15/11,8,800,737,743,2280
1890,,N,N,Wait List,M,Public,N,2010,,N,4.5,4,5,11/5/09,11,9/9/09,White/Caucasian,2.83,3.5,3.5,3.08,12/12/09,8,647,680,662,1989
2151,,N,N,Rejected,F,Public,N,2012,,N,4,4,5,10/16/11,10,6/24/11,Middle Eastern,2,2.5,3,2.5,2/4/12,8,599,593,632,1824
2492,,Y,N,Decline,F,Public,N,2006,,N,,,,1/23/06,1,1/18/06,White/Caucasian,5,5,5,15,1/19/06,8,737,800,695,2232
2125,,N,N,Rejected,F,Public,N,2009,,N,1,2,3,1/26/09,1,10/21/08,Hispanic,1,1,2,1,12/13/08,8,560,542,563,1665
2465,,Y,Y,Enrolled,F,Public,N,2005,BU Employee,N,,,,1/19/05,1,10/12/04,Pakistani/India,5,5,5,15,12/20/04,8,343,336,327,1006
2134,,N,N,Rejected,F,Public,N,2010,,N,3.5,3.5,4,12/18/09,12,10/9/09,White/Caucasian,2.25,2,2.17,2.08,1/9/10,8,677,644,692,2013
2067,,Y,N,Decline,F,Private,N,2016,BU Employee,N,,,,9/8/15,9,10/6/14,,4.3,4.3,4,4.3,10/17/15,8,767,731,764,2262
1748,,Y,N,Decline,M,Private,N,2014,,N,5,5,5,9/3/13,9,6/14/13,Caucasian,4.63,4.38,4.75,4.63,10/12/13,8,773,785,728,2286
2186,,Y,N,Decline,M,Private,N,2011,,N,5,5,5,12/29/10,12,12/5/10,Multiracial: White/Asian,5,4.92,5,4.92,1/8/11,8,800,800,722,2322
2474,,N,N,WL-Decline,F,Public,N,2010,,N,4,4,4.5,1/14/10,1,12/4/09,White/Caucasian,4.58,4.17,4.3,4.4,1/9/10,9,761,797,773,2331
1902,,Y,Y,Enrolled,F,Public,N,2010,,N,4,4,4,1/5/10,1,12/9/09,White/Caucasian,3.67,3.67,3.42,3.58,1/9/10,8,710,710,749,2169
1581,,Y,N,Decline,M,unkNwn,N,2005,,N,,,,12/1/04,12,10/5/04,Asian/Indian,4,4.7,5,13.7,12/20/04,9,347,347,316,1010
1748,,Y,N,Decline,F,Private,N,2011,,N,4,4.75,5,11/11/10,11,8/23/10,Asian American,4.25,4.63,4.5,4.5,12/11/10,8,752,779,728,2259
1742,,Y,N,Decline,F,Public,N,2005,,N,,,,11/28/04,11,10/25/04,,5,5,5,15,12/6/04,8,341,334,330,1005
1970,,Y,Y,Enrolled,M,Private,N,2014,,N,4,4,4,10/6/13,10,10/5/13,Caucasian,4.12,3.83,4,4.08,11/9/13,9,791,749,779,2319
2138,,Y,N,Decline,M,Private,N,2010,,N,4,4,4,1/20/10,1,8/11/09,White/Caucasian,4.25,4.25,4.25,4.25,11/14/09,8,728,773,695,2196
1907,,Y,Y,Enrolled,M,Private,N,2013,,Y,5,5,5,10/29/12,10,9/14/12,White/Caucasian,2.5,3.5,3.5,3,2/2/13,8,653,710,644,2007
