prefix	length	first	prediction	default	accuracy	upper_bound	objective	lower_bound	num_captured	num_captured_correct
219, 111, 64	3	219	1, 0, 1	1	0.677621283255	1.0	118	118	521	0.0
219, 111, 73	3	219	1, 0, 1	1	0.677621283255	1.0	123	123	516	0.0
219, 147, 111	3	219	1, 1, 0	1	0.677621283255	1.0	126	126	513	0.0
219, 147, 22	3	219	1, 1, 0	1	0.677621283255	1.0	126	126	513	0.0
219, 147, 29	3	219	1, 1, 0	1	0.69014084507	1.0	134	134	505	0.0
219, 147, 359	3	219	1, 1, 1	1	0.638497652582	1.0	159	159	480	0.0
219, 147, 47	3	219	1, 1, 1	1	0.638497652582	1.0	155	155	484	0.0
219, 147, 64	3	219	1, 1, 1	1	0.638497652582	1.0	147	147	492	0.0
219, 180, 111	3	219	1, 0, 0	1	0.733959311424	1.0	108	108	531	0.0
219, 180, 147	3	219	1, 0, 1	1	0.694835680751	1.0	137	137	502	0.0
219, 180, 22	3	219	1, 0, 0	1	0.733959311424	1.0	108	108	531	0.0
219, 180, 29	3	219	1, 0, 0	1	0.746478873239	1.0	116	116	523	0.0
219, 180, 47	3	219	1, 0, 1	1	0.694835680751	1.0	138	138	501	0.0
219, 180, 64	3	219	1, 0, 1	1	0.694835680751	1.0	129	129	510	0.0
219, 180, 73	3	219	1, 0, 1	1	0.694835680751	1.0	134	134	505	0.0
219, 188, 111	3	219	1, 0, 0	1	0.721439749609	1.0	100	100	539	0.0
219, 188, 147	3	219	1, 0, 1	1	0.682316118936	1.0	129	129	510	0.0
219, 188, 180	3	219	1, 0, 0	1	0.738654147105	1.0	111	111	528	0.0
219, 188, 22	3	219	1, 0, 0	1	0.721439749609	1.0	100	100	539	0.0
219, 188, 29	3	219	1, 0, 0	1	0.733959311424	1.0	108	108	531	0.0
219, 188, 64	3	219	1, 0, 1	1	0.682316118936	1.0	121	121	518	0.0
219, 211, 111	3	219	1, 1, 0	1	0.677621283255	1.0	133	133	506	0.0
219, 211, 147	3	219	1, 1, 1	1	0.638497652582	1.0	162	162	477	0.0
219, 211, 180	3	219	1, 1, 0	1	0.694835680751	1.0	144	144	495	0.0
219, 211, 188	3	219	1, 1, 0	1	0.682316118936	1.0	136	136	503	0.0
219, 211, 22	3	219	1, 1, 0	1	0.677621283255	1.0	133	133	506	0.0
219, 211, 29	3	219	1, 1, 0	1	0.69014084507	1.0	141	141	498	0.0
219, 211, 64	3	219	1, 1, 1	1	0.638497652582	1.0	154	154	485	0.0
219, 264, 111	3	219	1, 1, 0	1	0.677621283255	1.0	119	119	520	0.0
219, 264, 147	3	219	1, 1, 1	1	0.638497652582	1.0	147	147	492	0.0
219, 264, 180	3	219	1, 1, 0	1	0.694835680751	1.0	130	130	509	0.0
219, 264, 188	3	219	1, 1, 0	1	0.682316118936	1.0	122	122	517	0.0
219, 264, 211	3	219	1, 1, 1	1	0.638497652582	1.0	154	154	485	0.0
219, 264, 22	3	219	1, 1, 0	1	0.677621283255	1.0	119	119	520	0.0
219, 264, 242	3	219	1, 1, 0	1	0.682316118936	1.0	122	122	517	0.0
219, 264, 29	3	219	1, 1, 0	1	0.69014084507	1.0	127	127	512	0.0
219, 264, 47	3	219	1, 1, 1	1	0.638497652582	1.0	149	149	490	0.0
219, 29, 22	3	219	1, 0, 0	1	0.729264475743	1.0	105	105	534	0.0
