prefix	length	first	prediction	default	objective	lower_bound	accuracy	upper_bound	num_captured	num_captured_correct	num_not_captured	curiosity
47, 64, 291	3	47	1, 1, 0	1	0.311424100156	0.0	0.688575899844	1.0	133	133	506	0.0
47, 64, 297	3	47	1, 1, 0	1	0.322378716745	0.0	0.677621283255	1.0	126	126	513	0.0
47, 64, 301	3	47	1, 1, 0	1	0.317683881064	0.0	0.682316118936	1.0	129	129	510	0.0
47, 64, 304	3	47	1, 1, 0	1	0.319248826291	0.0	0.680751173709	1.0	128	128	511	0.0
47, 64, 305	3	47	1, 1, 0	1	0.283255086072	0.0	0.716744913928	1.0	151	151	488	0.0
47, 29, 22, 11	4	47	1, 0, 0, 1	1	0.270735524257	0.00156494522692	0.729264475743	0.998435054773	156	155	483	0.00641025641026
47, 64, 29, 144	4	47	1, 1, 0, 0	1	0.295774647887	0.0	0.704225352113	1.0	143	143	496	0.0
47, 64, 29, 208	4	47	1, 1, 0, 0	1	0.297339593114	0.0	0.702660406886	1.0	142	142	497	0.0
47, 64, 29, 22	4	47	1, 1, 0, 0	1	0.270735524257	0.0	0.729264475743	1.0	159	159	480	0.0
47, 64, 29, 262	4	47	1, 1, 0, 0	1	0.292644757433	0.0	0.707355242567	1.0	145	145	494	0.0
47, 64, 29, 291	4	47	1, 1, 0, 0	1	0.292644757433	0.0	0.707355242567	1.0	145	145	494	0.0
47, 64, 29, 297	4	47	1, 1, 0, 0	1	0.298904538341	0.0	0.701095461659	1.0	141	141	498	0.0
47, 64, 29, 301	4	47	1, 1, 0, 0	1	0.292644757433	0.0	0.707355242567	1.0	145	145	494	0.0
47, 64, 29, 305	4	47	1, 1, 0, 0	1	0.283255086072	0.0	0.716744913928	1.0	151	151	488	0.0
47, 64, 29, 144, 111	5	47	1, 1, 0, 0, 0	1	0.256651017214	0.0	0.743348982786	1.0	168	168	471	0.0
47, 64, 29, 144, 180	5	47	1, 1, 0, 0, 0	1	0.245696400626	0.0	0.754303599374	1.0	175	175	464	0.0
47, 64, 29, 144, 188	5	47	1, 1, 0, 0, 0	1	0.255086071987	0.0	0.744913928013	1.0	169	169	470	0.0
47, 64, 29, 144, 208	5	47	1, 1, 0, 0, 0	1	0.284820031299	0.0	0.715179968701	1.0	150	150	489	0.0
47, 64, 29, 144, 22	5	47	1, 1, 0, 0, 0	1	0.256651017214	0.0	0.743348982786	1.0	168	168	471	0.0
47, 64, 29, 144, 242	5	47	1, 1, 0, 0, 0	1	0.255086071987	0.0	0.744913928013	1.0	169	169	470	0.0
47, 64, 29, 144, 262	5	47	1, 1, 0, 0, 0	1	0.287949921753	0.0	0.712050078247	1.0	148	148	491	0.0
47, 64, 29, 144, 291	5	47	1, 1, 0, 0, 0	1	0.284820031299	0.0	0.715179968701	1.0	150	150	489	0.0
47, 64, 29, 144, 297	5	47	1, 1, 0, 0, 0	1	0.28951486698	0.0	0.71048513302	1.0	147	147	492	0.0
47, 64, 29, 144, 301	5	47	1, 1, 0, 0, 0	1	0.28951486698	0.0	0.71048513302	1.0	147	147	492	0.0
47, 64, 29, 144, 305	5	47	1, 1, 0, 0, 0	1	0.283255086072	0.0	0.716744913928	1.0	151	151	488	0.0
47, 64, 29, 144, 73	5	47	1, 1, 0, 0, 1	1	0.295774647887	0.0	0.704225352113	1.0	194	194	445	0.0
47, 64, 29, 22, 11	5	47	1, 1, 0, 0, 1	1	0.270735524257	0.00156494522692	0.729264475743	0.998435054773	201	200	438	0.00497512437811
47, 64, 29, 144, 22, 11	6	47	1, 1, 0, 0, 0, 1	1	0.256651017214	0.00156494522692	0.743348982786	0.998435054773	210	209	429	0.0047619047619
47, 64, 29, 144, 73, 147	6	47	1, 1, 0, 0, 1, 1	1	0.295774647887	0.0	0.704225352113	1.0	246	246	393	0.0
47, 64, 29, 144, 73, 211	6	47	1, 1, 0, 0, 1, 1	1	0.295774647887	0.0	0.704225352113	1.0	253	253	386	0.0
47, 64, 29, 144, 73, 219	6	47	1, 1, 0, 0, 1, 1	1	0.295774647887	0.0	0.704225352113	1.0	239	239	400	0.0
47, 64, 29, 144, 73, 22	6	47	1, 1, 0, 0, 1, 0	1	0.256651017214	0.0	0.743348982786	1.0	219	219	420	0.0
47, 64, 29, 144, 73, 264	6	47	1, 1, 0, 0, 1, 1	1	0.295774647887	0.0	0.704225352113	1.0	240	240	399	0.0
47, 64, 29, 144, 73, 147, 111	7	47	1, 1, 0, 0, 1, 1, 0	1	0.256651017214	0.0	0.743348982786	1.0	271	271	368	0.0
47, 64, 29, 144, 73, 147, 155	7	47	1, 1, 0, 0, 1, 1, 0	1	0.266040688576	0.0	0.733959311424	1.0	265	265	374	0.0
47, 64, 29, 144, 73, 147, 22	7	47	1, 1, 0, 0, 1, 1, 0	1	0.256651017214	0.0	0.743348982786	1.0	271	271	368	0.0
47, 64, 29, 144, 73, 147, 264	7	47	1, 1, 0, 0, 1, 1, 1	0	0.24882629108	0.0	0.75117370892	1.0	291	291	348	0.0
47, 64, 29, 144, 73, 147, 326	7	47	1, 1, 0, 0, 1, 1, 0	1	0.245696400626	0.0	0.754303599374	1.0	278	278	361	0.0
47, 64, 29, 144, 73, 147, 359	7	47	1, 1, 0, 0, 1, 1, 1	0	0.22848200313	0.0	0.77151799687	1.0	304	304	335	0.0
47, 64, 29, 144, 73, 147, 46	7	47	1, 1, 0, 0, 1, 1, 0	1	0.262910798122	0.0	0.737089201878	1.0	267	267	372	0.0
47, 64, 29, 144, 73, 147, 48	7	47	1, 1, 0, 0, 1, 1, 0	1	0.278560250391	0.0	0.721439749609	1.0	257	257	382	0.0
47, 64, 29, 144, 73, 147, 49	7	47	1, 1, 0, 0, 1, 1, 0	1	0.272300469484	0.0	0.727699530516	1.0	261	261	378	0.0
47, 64, 29, 144, 73, 147, 50	7	47	1, 1, 0, 0, 1, 1, 0	1	0.251956181534	0.0	0.748043818466	1.0	274	274	365	0.0
47, 64, 29, 144, 73, 22, 11	7	47	1, 1, 0, 0, 1, 0, 1	1	0.256651017214	0.00156494522692	0.743348982786	0.998435054773	261	260	378	0.00383141762452
47, 64, 29, 144, 73, 147, 22, 11	8	47	1, 1, 0, 0, 1, 1, 0, 1	0	0.256651017214	0.00156494522692	0.743348982786	0.998435054773	313	312	326	0.00319488817891
47, 64, 29, 144, 73, 147, 22, 155	8	47	1, 1, 0, 0, 1, 1, 0, 0	1	0.236306729264	0.0	0.763693270736	1.0	284	284	355	0.0
47, 64, 29, 144, 73, 147, 22, 326	8	47	1, 1, 0, 0, 1, 1, 0, 0	1	0.223787167449	0.0	0.776212832551	1.0	292	292	347	0.0
47, 64, 29, 144, 73, 147, 22, 155, 11	9	47	1, 1, 0, 0, 1, 1, 0, 0, 1	1	0.236306729264	0.00156494522692	0.763693270736	0.998435054773	326	325	313	0.00306748466258
47, 64, 29, 144, 73, 147, 22, 155, 111	9	47	1, 1, 0, 0, 1, 1, 0, 0, 0	1	0.197183098592	0.0	0.802816901408	1.0	309	309	330	0.0
47, 64, 29, 144, 73, 147, 22, 155, 180	9	47	1, 1, 0, 0, 1, 1, 0, 0, 0	1	0.200312989045	0.0	0.799687010955	1.0	307	307	332	0.0
47, 64, 29, 144, 73, 147, 22, 155, 188	9	47	1, 1, 0, 0, 1, 1, 0, 0, 0	1	0.197183098592	0.0	0.802816901408	1.0	309	309	330	0.0
47, 64, 29, 144, 73, 147, 22, 155, 208	9	47	1, 1, 0, 0, 1, 1, 0, 0, 0	1	0.225352112676	0.0	0.774647887324	1.0	291	291	348	0.0
47, 64, 29, 144, 73, 147, 22, 155, 242	9	47	1, 1, 0, 0, 1, 1, 0, 0, 0	1	0.198748043818	0.0	0.801251956182	1.0	308	308	331	0.0
47, 64, 29, 144, 73, 147, 22, 155, 249	9	47	1, 1, 0, 0, 1, 1, 0, 0, 1	1	0.236306729264	0.00156494522692	0.763693270736	0.998435054773	305	304	334	0.00327868852459
47, 64, 29, 144, 73, 147, 22, 155, 262	9	47	1, 1, 0, 0, 1, 1, 0, 0, 0	1	0.22848200313	0.0	0.77151799687	1.0	289	289	350	0.0
47, 64, 29, 144, 73, 147, 22, 155, 264	9	47	1, 1, 0, 0, 1, 1, 0, 0, 1	1	0.236306729264	0.0	0.763693270736	1.0	329	329	310	0.0
47, 64, 29, 144, 73, 147, 22, 155, 291	9	47	1, 1, 0, 0, 1, 1, 0, 0, 0	1	0.225352112676	0.0	0.774647887324	1.0	291	291	348	0.0
47, 64, 29, 144, 73, 147, 22, 155, 301	9	47	1, 1, 0, 0, 1, 1, 0, 0, 0	1	0.230046948357	0.0	0.769953051643	1.0	288	288	351	0.0
47, 64, 29, 144, 73, 147, 22, 155, 304	9	47	1, 1, 0, 0, 1, 1, 0, 0, 0	1	0.198748043818	0.0	0.801251956182	1.0	308	308	331	0.0
47, 64, 29, 144, 73, 147, 22, 155, 305	9	47	1, 1, 0, 0, 1, 1, 0, 0, 0	1	0.223787167449	0.0	0.776212832551	1.0	292	292	347	0.0
47, 64, 29, 144, 73, 147, 22, 155, 326	9	47	1, 1, 0, 0, 1, 1, 0, 0, 0	1	0.20813771518	0.0	0.79186228482	1.0	302	302	337	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46	9	47	1, 1, 0, 0, 1, 1, 0, 0, 0	1	0.20813771518	0.0	0.79186228482	1.0	302	302	337	0.0
47, 64, 29, 144, 73, 147, 22, 155, 48	9	47	1, 1, 0, 0, 1, 1, 0, 0, 0	1	0.222222222222	0.0	0.777777777778	1.0	293	293	346	0.0
47, 64, 29, 144, 73, 147, 22, 155, 49	9	47	1, 1, 0, 0, 1, 1, 0, 0, 0	1	0.217527386541	0.0	0.782472613459	1.0	296	296	343	0.0
47, 64, 29, 144, 73, 147, 22, 155, 50	9	47	1, 1, 0, 0, 1, 1, 0, 0, 0	1	0.198748043818	0.0	0.801251956182	1.0	308	308	331	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 11	10	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 1	1	0.20813771518	0.00156494522692	0.79186228482	0.998435054773	344	343	295	0.00290697674419
47, 64, 29, 144, 73, 147, 22, 155, 46, 180	10	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0	1	0.184663536776	0.0	0.815336463224	1.0	317	317	322	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 188	10	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0	1	0.178403755869	0.0	0.821596244131	1.0	321	321	318	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 242	10	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0	1	0.173708920188	0.0	0.826291079812	1.0	324	324	315	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 249	10	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 1	1	0.20813771518	0.00156494522692	0.79186228482	0.998435054773	323	322	316	0.0030959752322
47, 64, 29, 144, 73, 147, 22, 155, 46, 262	10	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0	1	0.200312989045	0.0	0.799687010955	1.0	307	307	332	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 291	10	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0	1	0.197183098592	0.0	0.802816901408	1.0	309	309	330	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 297	10	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0	1	0.201877934272	0.0	0.798122065728	1.0	306	306	333	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 301	10	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0	1	0.201877934272	0.0	0.798122065728	1.0	306	306	333	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 304	10	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0	1	0.175273865415	0.0	0.824726134585	1.0	323	323	316	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 305	10	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0	1	0.195618153365	0.0	0.804381846635	1.0	310	310	329	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 326	10	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0	1	0.186228482003	0.0	0.813771517997	1.0	316	316	323	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48	10	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0	1	0.203442879499	0.0	0.796557120501	1.0	305	305	334	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 49	10	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0	1	0.203442879499	0.0	0.796557120501	1.0	305	305	334	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 50	10	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0	1	0.198748043818	0.0	0.801251956182	1.0	308	308	331	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 11	11	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1	1	0.203442879499	0.00156494522692	0.796557120501	0.998435054773	347	346	292	0.0028818443804
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 180	11	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0	1	0.179968701095	0.0	0.820031298905	1.0	320	320	319	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 188	11	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0	1	0.173708920188	0.0	0.826291079812	1.0	324	324	315	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 208	11	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0	1	0.192488262911	0.0	0.807511737089	1.0	312	312	327	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 211	11	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1	1	0.203442879499	0.0	0.796557120501	1.0	364	364	275	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 219	11	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1	1	0.203442879499	0.0	0.796557120501	1.0	350	350	289	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 242	11	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0	1	0.173708920188	0.0	0.826291079812	1.0	324	324	315	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 249	11	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1	1	0.203442879499	0.00156494522692	0.796557120501	0.998435054773	326	325	313	0.00306748466258
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 291	11	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0	1	0.192488262911	0.0	0.807511737089	1.0	312	312	327	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 297	11	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0	1	0.197183098592	0.0	0.802816901408	1.0	309	309	330	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 301	11	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0	1	0.197183098592	0.0	0.802816901408	1.0	309	309	330	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 304	11	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0	1	0.173708920188	0.0	0.826291079812	1.0	324	324	315	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 305	11	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0	1	0.190923317684	0.0	0.809076682316	1.0	313	313	326	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 326	11	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0	1	0.181533646322	0.0	0.818466353678	1.0	319	319	320	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50	11	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0	1	0.198748043818	0.0	0.801251956182	1.0	308	308	331	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50, 11	12	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1	1	0.198748043818	0.00156494522692	0.801251956182	0.998435054773	350	349	289	0.00285714285714
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50, 180	12	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0	1	0.175273865415	0.0	0.824726134585	1.0	323	323	316	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50, 188	12	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0	1	0.169014084507	0.0	0.830985915493	1.0	327	327	312	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50, 208	12	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0	1	0.18779342723	0.0	0.81220657277	1.0	315	315	324	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50, 211	12	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1	1	0.198748043818	0.0	0.801251956182	1.0	367	367	272	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50, 219	12	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1	1	0.198748043818	0.0	0.801251956182	1.0	353	353	286	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50, 242	12	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0	1	0.169014084507	0.0	0.830985915493	1.0	327	327	312	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50, 249	12	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1	1	0.198748043818	0.00156494522692	0.801251956182	0.998435054773	329	328	310	0.00303951367781
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50, 262	12	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0	1	0.190923317684	0.0	0.809076682316	1.0	313	313	326	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50, 291	12	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0	1	0.18779342723	0.0	0.81220657277	1.0	315	315	324	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50, 297	12	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0	1	0.192488262911	0.0	0.807511737089	1.0	312	312	327	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50, 301	12	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0	1	0.192488262911	0.0	0.807511737089	1.0	312	312	327	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50, 304	12	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0	1	0.169014084507	0.0	0.830985915493	1.0	327	327	312	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50, 305	12	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0	1	0.186228482003	0.0	0.813771517997	1.0	316	316	323	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50, 326	12	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0	1	0.179968701095	0.0	0.820031298905	1.0	320	320	319	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50, 180, 11	13	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1	1	0.175273865415	0.00156494522692	0.824726134585	0.998435054773	365	364	274	0.0027397260274
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50, 180, 111	13	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0	1	0.136150234742	0.0	0.863849765258	1.0	348	348	291	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50, 180, 126	13	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1	1	0.175273865415	0.0	0.824726134585	1.0	327	327	312	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50, 180, 127	13	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1	1	0.175273865415	0.0	0.824726134585	1.0	326	326	313	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50, 180, 136	13	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1	1	0.175273865415	0.00156494522692	0.824726134585	0.998435054773	326	325	313	0.00306748466258
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50, 180, 141	13	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1	1	0.175273865415	0.0	0.824726134585	1.0	327	327	312	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50, 180, 142	13	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1	1	0.175273865415	0.0	0.824726134585	1.0	325	325	314	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50, 180, 156	13	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1	1	0.175273865415	0.00156494522692	0.824726134585	0.998435054773	329	328	310	0.00303951367781
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50, 180, 249	13	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1	1	0.175273865415	0.00156494522692	0.824726134585	0.998435054773	344	343	295	0.00290697674419
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50, 180, 262	13	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0	1	0.169014084507	0.0	0.830985915493	1.0	327	327	312	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50, 180, 291	13	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0	1	0.165884194053	0.0	0.834115805947	1.0	329	329	310	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50, 180, 301	13	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0	1	0.170579029734	0.0	0.829420970266	1.0	326	326	313	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50, 180, 304	13	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0	1	0.151799687011	0.0	0.848200312989	1.0	338	338	301	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50, 180, 305	13	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0	1	0.164319248826	0.0	0.835680751174	1.0	330	330	309	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50, 180, 326	13	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0	1	0.164319248826	0.0	0.835680751174	1.0	330	330	309	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50, 180, 51	13	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1	1	0.175273865415	0.0	0.824726134585	1.0	327	327	312	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50, 180, 53	13	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1	1	0.175273865415	0.00156494522692	0.824726134585	0.998435054773	326	325	313	0.00306748466258
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50, 180, 51, 11	14	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1	1	0.175273865415	0.00156494522692	0.824726134585	0.998435054773	369	368	270	0.00271002710027
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50, 180, 51, 126	14	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1	1	0.175273865415	0.0	0.824726134585	1.0	331	331	308	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50, 180, 51, 127	14	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1	1	0.175273865415	0.0	0.824726134585	1.0	330	330	309	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50, 180, 51, 136	14	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1	1	0.175273865415	0.00156494522692	0.824726134585	0.998435054773	330	329	309	0.0030303030303
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50, 180, 51, 141	14	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1	1	0.175273865415	0.0	0.824726134585	1.0	331	331	308	0.0
47, 64, 29, 144, 73, 147, 22, 155, 46, 48, 50, 180, 51, 142	14	47	1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1	1	0.175273865415	0.0	0.824726134585	1.0	329	329	310	0.0
